"Player","Australian.Open.Wins","Wimbledon.Wins","US.Open.Wins","French.Open.Wins","Total.Open.Era.Wins","French.Open.Earnings","Wimbledon.Earnings","Australian.Open.Earnings","US.Open.Earnings","Total.Earnings","Country","Continent","Age.First.Title","AgeFirstRev","GrandSlam","ThreeSlamsOneYear","TwoSlamsOneYear","Slams.in.One.Year"
"Adriano Panatta",0,0,0,1,1,0.13,0,0,0,0.13," ITA","Europe",26,-26,0,0,0,"1 Slam in 1 Year"
"Albert Costa",0,0,0,1,1,0.78,0,0,0,0.78," ESP","Europe",27,-27,0,0,0,"1 Slam in 1 Year"
"Andre Agassi",4,1,2,1,8,4.04,0.26,3.19,1.3,8.8," USA","North America",22,-22,0,0,1,"2 Slams in 1 Year"
"Andrés Gimeno",0,0,0,1,1,0.05,0,0,0,0.05," ESP","Europe",35,-35,0,0,0,"1 Slam in 1 Year"
"Andrés Gómez",0,0,0,1,1,2.23,0,0,0,2.23," ECU","South America",30,-30,0,0,0,"1 Slam in 1 Year"
"Andy Murray",0,2,1,0,3,0,3.6,0,1.9,5.5," GBR","Europe",25,-25,0,0,0,"1 Slam in 1 Year"
"Andy Roddick",0,0,1,0,1,0,0,0,1,1," USA","North America",21,-21,0,0,0,"1 Slam in 1 Year"
"Arthur Ashe",1,1,1,0,3,0,0.01,0,0.01,0.03," USA","North America",25,-25,0,0,0,"1 Slam in 1 Year"
"Björn Borg",0,5,0,6,11,1.13,0.09,0,0,1.22," SWE","Europe",18,-18,0,0,1,"2 Slams in 1 Year"
"Boris Becker",2,3,1,0,6,0,0.46,0.88,0.3,1.64," FRG","Europe",18,-18,0,0,1,"2 Slams in 1 Year"
"Brian Teacher",1,0,0,0,1,0,0,0.05,0,0.05," USA","North America",26,-26,0,0,0,"1 Slam in 1 Year"
"Carlos Moyá",0,0,0,1,1,3.85,0,0,0,3.85," ESP","Europe",22,-22,0,0,0,"1 Slam in 1 Year"
"Gastón Gaudio",0,0,0,1,1,0.86,0,0,0,0.86," ARG","South America",26,-26,0,0,0,"1 Slam in 1 Year"
"Goran Ivaniševic",0,1,0,0,1,0,0.5,0,0,0.5," CRO","Europe",30,-30,0,0,0,"1 Slam in 1 Year"
"Guillermo Vilas",2,0,1,1,4,0.19,0,0.09,0.03,0.31," ARG","South America",25,-25,0,0,0,"1 Slam in 1 Year"
"Gustavo Kuerten",0,0,0,3,3,12.45,0,0,0,12.45," BRA","South America",21,-21,0,0,0,"1 Slam in 1 Year"
"Ilie Nastase",0,0,1,1,2,0.07,0,0,0.02,0.1," ROU","Europe",26,-26,0,0,0,"1 Slam in 1 Year"
"Ivan Lendl",2,0,3,3,8,3.76,0,0.41,0.65,4.81," TCH","Europe",24,-24,0,0,1,"2 Slams in 1 Year"
"Jan Kodeš",0,1,0,2,3,0.1,0,0,0,0.11," TCH","Europe",24,-24,0,0,0,"1 Slam in 1 Year"
"Jim Courier",2,0,0,2,4,5.13,0,0.77,0,5.9," USA","North America",21,-21,0,0,1,"2 Slams in 1 Year"
"Jimmy Connors",1,2,5,0,8,0,0.05,0.01,0.3,0.36," USA","North America",22,-22,0,1,0,"3 Slams in 1 Year"
"Johan Kriek",2,0,0,0,2,0,0,0.14,0,0.14," RSA","Africa",23,-23,0,0,0,"1 Slam in 1 Year"
"John McEnroe",0,3,4,0,7,0,0.19,0,0.31,0.5," USA","North America",20,-20,0,0,1,"2 Slams in 1 Year"
"John Newcombe",2,2,1,0,5,0,0.01,0.02,0.02,0.05," AUS","Australia",26,-26,0,0,1,"2 Slams in 1 Year"
"Juan Carlos Ferrero",0,0,0,1,1,0.84,0,0,0,0.84," ESP","Europe",23,-23,0,0,0,"1 Slam in 1 Year"
"Juan Martín del Potro",0,0,1,0,1,0,0,0,1.6,1.6," ARG","South America",21,-21,0,0,0,"1 Slam in 1 Year"
"Ken Rosewall",2,0,1,1,4,0.02,0,0.01,0.02,0.05," AUS","Australia",34,-34,0,0,0,"1 Slam in 1 Year"
"Lleyton Hewitt",0,1,1,0,2,0,0.52,0,0.85,1.38," AUS","Australia",20,-20,0,0,0,"1 Slam in 1 Year"
"Manuel Orantes",0,0,1,0,1,0,0,0,0.02,0.02," ESP","Europe",26,-26,0,0,0,"1 Slam in 1 Year"
"Marat Safin",1,0,1,0,2,0,0,1.21,0.8,2.01," RUS","Europe",20,-20,0,0,0,"1 Slam in 1 Year"
"Marin Cilic",0,0,1,0,1,0,0,0,3,3," CRO","Europe",26,-26,0,0,0,"1 Slam in 1 Year"
"Mark Edmondson",1,0,0,0,1,0,0,0.01,0,0.01," AUS","Australia",22,-22,0,0,0,"1 Slam in 1 Year"
"Mats Wilander",3,0,1,3,7,3.24,0,0.28,0.28,3.8," SWE","Europe",18,-18,0,1,0,"3 Slams in 1 Year"
"Michael Chang",0,0,0,1,1,1.79,0,0,0,1.79," USA","North America",17,-17,0,0,0,"1 Slam in 1 Year"
"Michael Stich",0,1,0,0,1,0,0.24,0,0,0.24," GER","Europe",23,-23,0,0,0,"1 Slam in 1 Year"
"Novak Djokovic",6,3,2,1,12,2,4.74,15.2,5.1,27.04," SRB","Europe",21,-21,0,1,0,"3 Slams in 1 Year"
"Pat Cash",0,1,0,0,1,0,0.16,0,0,0.16," AUS","Australia",22,-22,0,0,0,"1 Slam in 1 Year"
"Patrick Rafter",0,0,2,0,2,0,0,0,1.35,1.35," AUS","Australia",25,-25,0,0,0,"1 Slam in 1 Year"
"Pete Sampras",2,7,5,0,14,0,2.8,1.04,2.96,6.8," USA","North America",19,-19,0,0,1,"2 Slams in 1 Year"
"Petr Korda",1,0,0,0,1,0,0,0.62,0,0.62," CZE","Europe",30,-30,0,0,0,"1 Slam in 1 Year"
"Rafael Nadal",1,2,3,10,16,12.64,1.75,2,8,24.39," ESP","Europe",19,-19,0,1,0,"3 Slams in 1 Year"
"Richard Krajicek",0,1,0,0,1,0,0.39,0,0,0.39," NED","Europe",25,-25,0,0,0,"1 Slam in 1 Year"
"Rod Laver",1,2,1,1,5,0.04,0,0.01,0.02,0.06," AUS","Australia",30,-30,1,0,0,"Grand Slam"
"Roger Federer",6,8,5,1,20,1.06,7.36,13.5,6.2,28.12,"  SUI","Europe",22,-22,0,1,0,"3 Slams in 1 Year"
"Roscoe Tanner",1,0,0,0,1,0,0,0.03,0,0.03," USA","North America",26,-26,0,0,0,"1 Slam in 1 Year"
"Sergi Bruguera",0,0,0,2,2,5.84,0,0,0,5.84," ESP","Europe",22,-22,0,0,0,"1 Slam in 1 Year"
"Stan Smith",0,1,1,0,2,0,0,0,0.02,0.02," USA","North America",25,-25,0,0,0,"1 Slam in 1 Year"
"Stan Wawrinka",1,0,1,1,3,1.8,0,2.65,3.5,7.95," SUI","Europe",29,-29,0,0,0,"1 Slam in 1 Year"
"Stefan Edberg",2,2,2,0,6,0,0.4,0.2,0.9,1.5," SWE","Europe",19,-19,0,0,0,"1 Slam in 1 Year"
"Thomas Johansson",1,0,0,0,1,0,0,1,0,1," SWE","Europe",27,-27,0,0,0,"1 Slam in 1 Year"
"Thomas Muster",0,0,0,1,1,3.32,0,0,0,3.32," AUT","Europe",28,-28,0,0,0,"1 Slam in 1 Year"
"Vitas Gerulaitis",1,0,0,0,1,0,0,0.03,0,0.03," USA","North America",23,-23,0,0,0,"1 Slam in 1 Year"
"Yannick Noah",0,0,0,1,1,0.5,0,0,0,0.5," FRA","Europe",23,-23,0,0,0,"1 Slam in 1 Year"
"Yevgeny Kafelnikov",1,0,0,1,2,3.45,0,0.72,0,4.17," RUS","Europe",22,-22,0,0,0,"1 Slam in 1 Year"
